chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,256MB,auto,5.12 GB,hal24,24,128gb,2,climatology,4.647298574447632,False,1,1
10,256MB,auto,5.12 GB,hal24,24,128gb,2,anomaly,9.73798394203186,False,1,1
10,64MB,spatial,1.28 GB,hal24,24,128gb,2,spatial_mean,1.4895808696746826,False,1,1
10,64MB,spatial,1.28 GB,hal24,24,128gb,2,temporal_mean,0.7766904830932617,False,1,1
10,64MB,spatial,1.28 GB,hal24,24,128gb,2,climatology,1.2151038646697998,False,1,1
10,64MB,spatial,1.28 GB,hal24,24,128gb,2,anomaly,1.980276346206665,False,1,1
10,64MB,temporal,1.28 GB,hal24,24,128gb,2,spatial_mean,1.2925293445587158,False,1,1
10,64MB,temporal,1.28 GB,hal24,24,128gb,2,temporal_mean,0.8966243267059326,False,1,1
10,64MB,temporal,1.28 GB,hal24,24,128gb,2,climatology,1.3847920894622803,False,1,1
10,64MB,temporal,1.28 GB,hal24,24,128gb,2,anomaly,2.258481502532959,False,1,1
10,64MB,auto,1.28 GB,hal24,24,128gb,2,spatial_mean,1.0273025035858154,False,1,1
10,64MB,auto,1.28 GB,hal24,24,128gb,2,temporal_mean,0.9117956161499023,False,1,1
10,64MB,auto,1.28 GB,hal24,24,128gb,2,climatology,1.054842233657837,False,1,1
10,64MB,auto,1.28 GB,hal24,24,128gb,2,anomaly,1.9477863311767578,False,1,1
10,128MB,spatial,2.56 GB,hal24,24,128gb,2,spatial_mean,3.5237350463867188,False,1,1
10,128MB,spatial,2.56 GB,hal24,24,128gb,2,temporal_mean,1.7611236572265625,False,1,1
10,128MB,spatial,2.56 GB,hal24,24,128gb,2,climatology,2.582414388656616,False,1,1
10,128MB,spatial,2.56 GB,hal24,24,128gb,2,anomaly,4.237016916275024,False,1,1
10,128MB,temporal,2.56 GB,hal24,24,128gb,2,spatial_mean,2.596679210662842,False,1,1
10,128MB,temporal,2.56 GB,hal24,24,128gb,2,temporal_mean,1.7097499370574951,False,1,1
10,128MB,temporal,2.56 GB,hal24,24,128gb,2,climatology,2.6456856727600098,False,1,1
10,128MB,temporal,2.56 GB,hal24,24,128gb,2,anomaly,4.0754783153533936,False,1,1
10,128MB,auto,2.56 GB,hal24,24,128gb,2,spatial_mean,2.35123610496521,False,1,1
10,128MB,auto,2.56 GB,hal24,24,128gb,2,temporal_mean,1.6073899269104004,False,1,1
10,128MB,auto,2.56 GB,hal24,24,128gb,2,climatology,2.3883588314056396,False,1,1
10,128MB,auto,2.56 GB,hal24,24,128gb,2,anomaly,4.158948183059692,False,1,1
10,256MB,spatial,5.12 GB,hal24,24,128gb,2,spatial_mean,5.321526050567627,False,1,1
10,256MB,spatial,5.12 GB,hal24,24,128gb,2,temporal_mean,3.2668399810791016,False,1,1
10,256MB,spatial,5.12 GB,hal24,24,128gb,2,climatology,5.241293907165527,False,1,1
10,256MB,spatial,5.12 GB,hal24,24,128gb,2,anomaly,8.415971040725708,False,1,1
10,256MB,temporal,5.12 GB,hal24,24,128gb,2,spatial_mean,5.001677989959717,False,1,1
10,256MB,temporal,5.12 GB,hal24,24,128gb,2,temporal_mean,3.3947207927703857,False,1,1
10,256MB,temporal,5.12 GB,hal24,24,128gb,2,climatology,5.219722509384155,False,1,1
10,256MB,temporal,5.12 GB,hal24,24,128gb,2,anomaly,9.690092086791992,False,1,1
10,256MB,auto,5.12 GB,hal24,24,128gb,2,spatial_mean,4.689042806625366,False,1,1
10,256MB,auto,5.12 GB,hal24,24,128gb,2,temporal_mean,3.2080776691436768,False,1,1
10,256MB,auto,5.12 GB,hal24,24,128gb,2,climatology,4.647298574447632,False,1,1
10,256MB,auto,5.12 GB,hal24,24,128gb,2,anomaly,9.73798394203186,False,1,1
10,512MB,spatial,10.24 GB,hal24,24,128gb,2,spatial_mean,10.893332719802856,False,1,1
10,512MB,spatial,10.24 GB,hal24,24,128gb,2,temporal_mean,6.520659446716309,False,1,1
10,512MB,spatial,10.24 GB,hal24,24,128gb,2,climatology,9.897451162338257,False,1,1
10,512MB,spatial,10.24 GB,hal24,24,128gb,2,anomaly,15.574820280075073,False,1,1
10,512MB,temporal,10.24 GB,hal24,24,128gb,2,spatial_mean,11.17864727973938,False,1,1
10,512MB,temporal,10.24 GB,hal24,24,128gb,2,temporal_mean,7.754735708236694,False,1,1
10,512MB,temporal,10.24 GB,hal24,24,128gb,2,climatology,11.577818393707275,False,1,1
10,512MB,temporal,10.24 GB,hal24,24,128gb,2,anomaly,21.89506959915161,False,1,1
10,512MB,auto,10.24 GB,hal24,24,128gb,2,spatial_mean,11.607780456542969,False,1,1
10,512MB,auto,10.24 GB,hal24,24,128gb,2,temporal_mean,7.424760341644287,False,1,1
10,512MB,auto,10.24 GB,hal24,24,128gb,2,climatology,9.54531741142273,False,1,1
10,512MB,auto,10.24 GB,hal24,24,128gb,2,anomaly,19.724579095840454,False,1,1
